PID,PlaythroughOrder,LastTrialNumber
1,1,22
1,2,22
1,3,22
1,4,23
2,1,22
2,2,22
2,3,23
2,4,22
3,1,22
3,2,22
3,3,22
3,4,22
4,1,39
4,2,23
4,3,28
4,4,25
5,1,22
5,2,22
5,3,22
5,4,22
7,1,22
7,2,22
7,3,22
7,4,22
8,1,22
8,2,23
8,3,22
8,4,22
9,1,27
9,2,24
9,3,23
9,4,25
10,1,43
10,2,31
10,3,27
10,4,22
11,1,28
11,2,26
11,3,27
11,4,27
13,1,41
13,2,36
13,3,29
13,4,25
14,1,24
14,2,23
14,3,25
14,4,26
15,1,23
15,2,23
15,3,23
15,4,22
16,1,22
16,2,22
16,3,22
16,4,22
17,1,24
17,2,25
17,3,24
17,4,22
18,1,22
18,2,22
18,3,22
18,4,22
