Timestamp;Condition;Participant no.;I felt in control of the fisherman's actions.;I felt in control when I got help from the other character.;I felt in control... [while trying to reel in the fish (performing the key sequence).];I felt in control... [when the fish was tugging away from me (moving a column away).];I felt in control... [when the fish escaped.];In this condition...;I felt frustrated when I got help from the other character.;How much frustration did you feel... [during this condition?];How much frustration did you feel... [overall since we started the experiment?];How much frustration did you feel... [while you were trying to reel in the fish (perform the key sequence)];How much frustration did you feel... [while the fish was tugging away from you (moving a column away)];How much frustration did you feel... [when the fish escaped?];In this condition...;How likely do you think you were to succeed in reeling the fish up by one lane in this condition? Provide the answer on a scale of 1 - 100.;Blame
08-05-2020 10:27;2;2;7;1;5;6;6;;4;5;1;5;2;1;;70;
08-05-2020 10:39;2;1;3;1;5;3;2;I felt less in control than in the previous condition.;6;5;2;5;3;3;I felt more frustrated than in the previous condition.;75;System
08-05-2020 11:58;2;3;6;2;6;1;1;I felt more in control than in the previous condition.;1;1;1;2;1;1;I felt less frustrated than in the previous condition.;95;System
08-05-2020 12:06;2;4;3;4;3;2;2;I felt less in control than in the previous condition.;2;5;3;5;4;3;I felt more frustrated than in the previous condition.;45;Self
08-05-2020 13:53;2;5;5;1;6;6;6;;7;3;2;2;4;1;;70;Self
08-05-2020 15:14;2;7;6;7;5;2;1;I felt more in control than in the previous condition.;1;2;1;3;3;4;I felt less frustrated than in the previous condition.;80;System
08-05-2020 15:22;2;8;7;1;1;2;2;I felt less in control than in the previous condition.;3;1;1;2;3;2;I felt more frustrated than in the previous condition.;63;Self
08-05-2020 17:54;2;9;3;2;2;4;1;I felt less in control than in the previous condition.;6;6;5;6;4;4;I felt more frustrated than in the previous condition.;55;
09-05-2020 11:36;2;12;4;3;5;3;3;I felt less in control than in the previous condition.;4;5;4;4;5;5;I felt less frustrated than in the previous condition.;30;
09-05-2020 17:39;2;11;7;1;1;1;6;;7;4;1;2;1;1;;10;System
09-05-2020 18:57;2;10;5;1;5;3;3;I felt the same amount of control in both conditions.;2;2;2;2;3;3;I felt the same level of frustration in both conditions.;70;System
10-05-2020 11:12;2;14;4;4;5;2;2;;1;4;4;2;5;6;;75;System
11-05-2020 09:25;2;13;3;1;3;2;2;I felt less in control than in the previous condition.;7;5;3;4;5;5;I felt more frustrated than in the previous condition.;60;System
11-05-2020 10:41;2;18;4;1;3;2;1;I felt the same amount of control in both conditions.;3;4;4;4;6;1;I felt more frustrated than in the previous condition.;25;System
11-05-2020 10:48;2;15;4;2;4;1;1;I felt less in control than in the previous condition.;5;3;3;4;6;6;I felt more frustrated than in the previous condition.;40;System
11-05-2020 11:34;2;17;5;3;5;2;1;;1;2;2;3;2;2;;75;Self
11-05-2020 12:01;2;16;3;5;3;3;3;I felt less in control than in the previous condition.;1;5;4;5;5;4;I felt more frustrated than in the previous condition.;40;System
