Timestamp,Condition,Participant no.,I felt in control of the fisherman's actions.,I felt in control when the big clamp prevented the fish from swimming away from me.,I felt in control... [while trying to reel in the fish (performing the key sequence).],I felt in control... [when the fish was tugging away from me (moving a column away).],I felt in control... [when the fish escaped.],In this condition...,I felt frustrated when the big clamp prevented the fish from swimming away from me.,How much frustration did you feel... [during this condition?],How much frustration did you feel... [overall since we started the experiment?],How much frustration did you feel... [while you were trying to reel in the fish (perform the key sequence)],How much frustration did you feel... [while the fish was tugging away from you (moving a column away)],How much frustration did you feel... [when the fish escaped?],In this condition...,How likely do you think you were to succeed in reeling the fish up by one lane in this condition? Provide the answer on a scale of 1 - 100.
08/05/2020 10:40,4,2,6,1,6,5,5,I felt more in control than in the previous condition.,1,5,1,6,2,1,I felt less frustrated than in the previous condition.,80
08/05/2020 10:59,4,1,2,3,5,3,2,I felt the same amount of control in both conditions.,2,2,2,4,6,6,I felt more in control than in the previous condition.,80
08/05/2020 11:46,4,3,6,3,6,1,1,I felt the same amount of control in both conditions.,1,1,2,2,1,1,I felt the same level of frustration in both conditions.,95
08/05/2020 11:51,4,4,5,5,4,2,4,,1,2,2,3,3,2,,75
08/05/2020 14:08,4,5,4,2,6,4,4,I felt more in control than in the previous condition.,2,2,3,2,3,4,I felt less frustrated than in the previous condition.,75
08/05/2020 15:04,4,7,6,7,3,4,1,,1,2,1,5,5,6,,70
08/05/2020 15:10,4,8,7,1,1,2,2,I felt the same amount of control in both conditions.,1,1,1,1,2,2,I felt the same level of frustration in both conditions.,63
08/05/2020 18:27,4,9,5,1,5,5,6,I felt the same amount of control in both conditions.,4,4,4,4,5,6,I felt less frustrated than in the previous condition.,70
09/05/2020 11:26,4,12,7,7,1,1,1,,1,2,2,2,3,3,,80
09/05/2020 17:48,4,11,4,2,1,1,1,I felt more in control than in the previous condition.,1,2,2,3,1,1,I felt less frustrated than in the previous condition.,25
09/05/2020 18:50,4,10,5,1,5,3,3,I felt more in control than in the previous condition.,3,2,2,1,3,3,I felt the same level of frustration in both conditions.,60
10/05/2020 11:20,4,14,4,1,5,1,1,I felt the same amount of control in both conditions.,4,4,3,4,6,1,I felt the same level of frustration in both conditions.,75
11/05/2020 09:18,4,13,5,6,4,2,2,,1,4,4,4,5,5,,65
11/05/2020 10:35,4,18,2,1,2,2,1,I felt less in control than in the previous condition.,1,4,3,3,5,6,I felt more frustrated than in the previous condition.,25
11/05/2020 10:43,4,15,4,3,5,1,1,I felt the same amount of control in both conditions.,1,4,3,4,5,5,I felt less frustrated than in the previous condition.,50
11/05/2020 11:46,4,17,2,4,2,3,3,I felt the same amount of control in both conditions.,1,2,2,4,2,2,I felt the same level of frustration in both conditions.,50
11/05/2020 11:55,4,16,5,3,4,2,3,I felt the same amount of control in both conditions.,1,3,4,4,3,3,I felt more frustrated than in the previous condition.,55
