Date,Timestamp,GameEvent,Event,KeyCode,SequenceTime_ms,TimeSinceLastKey_ms,KeyOrder,KeyType,ExpectedKey1,ExpectedKey2,SequenceNumber,SequenceComposition,SequenceSpeed,SequenceValidity,SequenceType,SequenceWindowClosure,TargetFabInputRate,TargetRecognitionRate,StartPolicyReview,Trials,InterTrialIntervalSeconds,InputWindowSeconds,GameState,GamePolicy,CurrentRecognitionRate,FabAlarmFixationPoint,FabAlarmVariability,CurrentFabRate,CurrentFabAlarm,InputConfidence,InputValidity,InputType,InputNumber
2020-05-05,11:14:39.4075,NA,KeyDown,S,0,0,NA,WrongKey,H,K,0,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Rejected,KeySequence,0,
2020-05-05,11:14:40.1207,NA,KeySequenceStopped,NA,0.7500078,0.7500078,NA,NA,NA,NA,0,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Rejected,KeySequence,0,
2020-05-05,11:14:40.5994,NA,KeyDown,W,0,0,NA,WrongKey,H,K,1,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Rejected,KeySequence,1,
2020-05-05,11:14:41.0163,NA,KeyDown,W,0.4169316,0.4169316,NA,WrongKey,H,K,1,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Rejected,KeySequence,1,
2020-05-05,11:14:41.7666,NA,KeySequenceStopped,NA,1.183576,0.7666441,NA,NA,NA,NA,1,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Rejected,KeySequence,1,
2020-05-05,11:14:51.5694,Start,Game event,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Rejected,KeySequence,1,
2020-05-05,11:14:51.5704,Condition: 1,Game event,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Rejected,KeySequence,1,
2020-05-05,11:14:51.5704,Order: 3,Game event,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Rejected,KeySequence,1,
2020-05-05,11:14:51.5734,New fish spawned in lane: 3,Game event,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Rejected,KeySequence,1,
2020-05-05,11:14:51.5764,New fish spawned in lane: 3,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,0,Rejected,KeySequence,1,
2020-05-05,11:14:51.5854,Moving down (arrow) - lane: 1,Game event,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,0,Rejected,KeySequence,1,
2020-05-05,11:14:51.5664,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0,0,NA,WrongKey,H,K,2,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,2,
2020-05-05,11:14:52.1506,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.5833667,0.5833667,NA,WrongKey,H,K,2,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,2,
2020-05-05,11:14:52.1996,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.6334763,0.0501096,NA,WrongKey,J,None,2,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,2,
2020-05-05,11:14:52.2326,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.6667137,0.0332374,NA,WrongKey,L,None,2,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,2,
2020-05-05,11:14:52.2346,Moving down (arrow) - lane: 1,KeySequenceStopped,NA,0.6834742,0.0167605,NA,NA,NA,NA,2,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,2,
2020-05-05,11:14:52.2666,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0,0,NA,WrongKey,H,K,3,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,3,
2020-05-05,11:14:52.2996,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.0333194,0.0333194,NA,WrongKey,H,K,3,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,3,
2020-05-05,11:14:52.3332,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.0665424,0.033223,NA,WrongKey,J,None,3,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,3,
2020-05-05,11:14:52.3663,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.0999604,0.033418,NA,WrongKey,L,None,3,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,3,
2020-05-05,11:14:52.3673,Moving down (arrow) - lane: 1,KeySequenceStopped,NA,0.1168114,0.016851,NA,NA,NA,NA,3,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,3,
2020-05-05,11:14:52.4165,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0,0,NA,WrongKey,H,K,4,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,4,
2020-05-05,11:14:52.4496,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.0331134,0.0331134,NA,WrongKey,H,K,4,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,4,
2020-05-05,11:14:52.4836,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.06656,0.0334466,NA,WrongKey,J,None,4,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,4,
2020-05-05,11:14:52.5165,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.099793,0.033233,NA,WrongKey,L,None,4,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,4,
2020-05-05,11:14:52.5175,Moving down (arrow) - lane: 1,KeySequenceStopped,NA,0.1165921,0.0167991,NA,NA,NA,NA,4,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,4,
2020-05-05,11:14:52.5505,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0,0,NA,WrongKey,H,K,5,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,5,
2020-05-05,11:14:52.5997,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.0498819,0.0498819,NA,WrongKey,H,K,5,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,5,
2020-05-05,11:14:52.6333,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.0833286,0.0334467,NA,WrongKey,J,None,5,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,5,
2020-05-05,11:14:52.6663,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.1166241,0.0332955,NA,WrongKey,L,None,5,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,5,
2020-05-05,11:14:52.6673,Moving down (arrow) - lane: 1,KeySequenceStopped,NA,0.1334685,0.0168444,NA,NA,NA,NA,5,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,5,
2020-05-05,11:14:52.7163,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0,0,NA,WrongKey,H,K,6,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,6,
2020-05-05,11:14:52.7494,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.033165,0.033165,NA,WrongKey,H,K,6,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,6,
2020-05-05,11:14:52.7824,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.0667441,0.0335791,NA,WrongKey,J,None,6,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,6,
2020-05-05,11:14:52.8162,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.09998971,0.0332456,NA,WrongKey,L,None,6,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,6,
2020-05-05,11:14:52.8182,Moving down (arrow) - lane: 1,KeySequenceStopped,NA,0.1166207,0.016631,NA,NA,NA,NA,6,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,6,
2020-05-05,11:14:52.8502,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0,0,NA,WrongKey,H,K,7,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,7,
2020-05-05,11:14:52.8834,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.0334356,0.0334356,NA,WrongKey,H,K,7,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,7,
2020-05-05,11:14:52.9163,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.0666333,0.0331977,NA,WrongKey,J,None,7,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,7,
